	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0	MIDN	3163.631548	1.858557253	0.127962298	14.52425667	8.509999999999999e-48	2.3700000000000003e-43
1	TPM4	2049.43928	2.752278604	0.202583666	13.58588605	4.859999999999999e-42	6.749999999999999e-38
2	CBARP	63433.7847	2.191477281	0.168567091	13.00062346	1.21e-38	1.13e-34
3	PLK3	2526.375584	1.255335097	0.101327551	12.3888822	3e-35	2.09e-31
4	KCTD21	13796.41532	-0.852129066	0.070826193	-12.03127019	2.43e-33	1.35e-29
5	TRIB1	1832.691473	1.288449005	0.11203277	11.50064398	1.3099999999999999e-30	6.0700000000000006e-27
6	FOS	3652.98007	2.327918179	0.20843887	11.16834965	5.830000000000001e-29	1.8e-25
7	EED	6545.74826	0.471604771	0.04276395	11.02809193	2.8e-28	7.78e-25
8	SMC5	20062.23112	0.372524871	0.034602403	10.76586722	4.990000000000001e-27	9.91e-24
9	CREBRF	8684.069779	-0.790791	0.074031018	-10.68188747	1.2400000000000001e-26	2.1499999999999997e-23
10	ACTB	163253.4763	0.998136491	0.095837995	10.41483064	2.12e-25	3.47e-22
11	SH3RF2	12704.42996	0.76931963	0.074439823	10.33478593	4.91e-25	7.58e-22
12	ZNF346	9542.933396	0.470417012	0.046743866	10.0637165	7.989999999999999e-24	9.260000000000001e-21
13	NUDT3	463.8468637	-28.62299733	2.925180515	-9.785036234	1.31e-22	1.4e-19
14	DEGS1	9176.211744	0.795276374	0.083092177	9.57101382	1.0600000000000001e-21	1.05e-18
15	EIF3A	240.2384394	-27.458921	2.925200077	-9.387023204	6.170000000000001e-21	5.54e-18
16	LARS1	20498.39699	0.450502924	0.048009802	9.383561421	6.3800000000000005e-21	5.54e-18
17	PRRG3	2553.184592	1.294089225	0.138530633	9.34153838	9.49e-21	7.77e-18
18	ACTG1	161199.9535	0.895108424	0.099174398	9.025599783	1.79e-19	1.31e-16
19	DESI1	81.48516147	-26.2278109	2.925279161	-8.965917254	3.08e-19	2.14e-16
20	CNN2	710.1331381	2.23440706	0.257985917	8.660965257	4.68e-18	2.46e-15
21	MAFF	6273.703778	0.797612479	0.09255566	8.617652105	6.83e-18	3.52e-15
22	TRAF2	36.82669184	-25.16199711	2.925424265	-8.601144599	7.89e-18	3.72e-15
23	DUSP4	385.6924023	1.618595249	0.188490631	8.587138985	8.92e-18	4.13e-15
24	BDNF	208.4714755	1.835222511	0.214920135	8.539090632	1.35e-17	6.17e-15
25	ING2	4051.230076	0.420629925	0.04947178	8.502421428	1.86e-17	8.2e-15
26	PTPN9	10820.93409	0.745812532	0.087916458	8.483195837	2.19e-17	9.52e-15
27	ALG5	2995.56181	0.476541415	0.056351693	8.456558987	2.75e-17	1.11e-14
28	ELMOD2	26.86812824	-24.73111665	2.92552238	-8.453572878	2.83e-17	1.12e-14
29	PSMD10	44.49928304	24.65963044	2.925378578	8.429551864	3.47e-17	1.32e-14
30	LONRF1	11046.43592	-0.46261277	0.054993118	-8.412193891	4.02e-17	1.51e-14
31	SEC61A1	43.81765626	24.59810333	2.925382033	8.408509745	4.15e-17	1.54e-14
32	PANK2	67.07367749	24.59046199	2.92530472	8.406119823	4.24e-17	1.54e-14
33	TRMT9B	37.81518298	24.42493411	2.925417452	8.349213236	6.87e-17	2.42e-14
34	TMEM116	570.7813479	1.758371734	0.214585128	8.194285168	2.52e-16	7.97e-14
35	LRRTM1	15.27398231	-23.9547247	2.925797838	-8.187416228	2.67e-16	8.34e-14
36	CASZ1	728.8247528	-0.842497702	0.103063409	-8.174556916	2.97e-16	9.11e-14
37	HEATR5B	14.8654228	-23.9159917	2.925815586	-8.174128205	2.98e-16	9.11e-14
38	IPO9	70.95773305	23.76426507	2.925296675	8.1237111	4.52e-16	1.35e-13
39	CAND1	13.39420261	-23.75185101	2.925887282	-8.117828448	4.75e-16	1.4e-13
40	RALGAPA2	12.39529144	-23.64427222	2.92594612	-8.080898024	6.43e-16	1.81e-13
41	PAK1IP1	3840.178733	0.519319431	0.064627606	8.035566573	9.31e-16	2.54e-13
42	PIM3	15823.98563	0.80546593	0.100564476	8.009447906	1.15e-15	3.11e-13
43	ARC	13747.73821	2.077425194	0.259537949	8.004321521	1.2e-15	3.15e-13
44	THRAP3	9.565815951	-23.32546394	2.926178887	-7.971304847	1.57e-15	4.01e-13
45	KIFBP	16.27817287	-23.27273943	2.925758305	-7.954429932	1.8e-15	4.54e-13
46	MAP2K5	14.22424285	23.06368038	2.925846379	7.882737981	3.2e-15	7.88e-13
47	KLHL1	16.76840045	23.02077667	2.92574189	7.868355285	3.59e-15	8.77e-13
48	MNT	13.18936911	22.96216143	2.925900389	7.847895818	4.23e-15	1.02e-12
49	RRP15	12.98938565	22.91228909	2.925911581	7.830820738	4.85e-15	1.14e-12
50	MAML1	12.63437717	22.90110424	2.925932758	7.826941402	5e-15	1.15e-12
51	TMEM183A	12.66418922	22.90464744	2.925931048	7.82815694	4.95e-15	1.15e-12
52	SLF2	8089.224806	-0.320221177	0.041035647	-7.80348802	6.02e-15	1.36e-12
53	EMP2	12.54937449	22.79024348	2.925937991	7.789038439	6.75e-15	1.51e-12
54	BCO1	11.28501991	22.74387839	2.926025289	7.772960295	7.67e-15	1.68e-12
55	NXT2	2622.598133	-0.613386044	0.079320665	-7.732991677	1.05e-14	2.26e-12
56	DNAJB5	7228.317629	2.001745622	0.258883384	7.732229055	1.06e-14	2.26e-12
57	SPRED2	13524.03377	0.460925012	0.059715433	7.71869164	1.18e-14	2.5e-12
58	TMEM97	3661.008876	0.743036942	0.096414539	7.706689741	1.29e-14	2.72e-12
59	SFN	73.09296022	2.567882206	0.336618758	7.628458432	2.38e-14	4.9e-12
60	CDK19	10711.7013	-0.450858523	0.059213163	-7.614160503	2.65e-14	5.43e-12
61	EIF2AK3	7189.872924	-0.489638944	0.064780289	-7.558455725	4.08e-14	7.99e-12
62	SEC14L5	11.87759025	-22.08966681	2.925980573	-7.549491959	4.37e-14	8.5e-12
63	PTPRR	2683.837986	-0.423028019	0.056466211	-7.491701901	6.8e-14	1.28e-11
64	RBM5	28141.50531	-0.902715979	0.120973449	-7.462100044	8.52e-14	1.58e-11
65	TNFRSF6B	902.1097547	3.290317853	0.441196562	7.457714168	8.8e-14	1.61e-11
66	MAGI3	10528.06911	-0.317279921	0.042556425	-7.455511616	8.95e-14	1.63e-11
67	EGR2	6959.982547	2.810568046	0.377819052	7.438926214	1.02e-13	1.82e-11
68	SRF	15761.45048	1.202133598	0.161821709	7.428753575	1.1e-13	1.92e-11
69	AR	184.1332904	2.224188358	0.301484015	7.377466943	1.61e-13	2.74e-11
70	PLCXD3	983.8698258	-0.675900944	0.091642767	-7.375387766	1.64e-13	2.76e-11
71	SHC4	1931.060401	0.739789072	0.100555031	7.357056767	1.88e-13	3.15e-11
72	SRP72	16010.98932	0.258493431	0.035169508	7.349930206	1.98e-13	3.3e-11
73	FEM1C	8648.855431	-0.24627279	0.033563397	-7.337540738	2.18e-13	3.6e-11
74	FBXO28	4214.59661	0.301658861	0.041282147	7.307247371	2.73e-13	4.44e-11
75	ETV5	4477.942265	0.939352825	0.129615938	7.247201562	4.25e-13	6.72e-11
76	RSL1D1	5882.166226	0.5795789	0.080083919	7.237144602	4.58e-13	7.16e-11
77	DNAJC13	12247.81694	-0.40293193	0.055843002	-7.21544175	5.38e-13	8.31e-11
78	HYAL2	203.2087861	0.702428736	0.098495427	7.131587268	9.92e-13	1.48e-10
79	CREB3L1	899.7216471	0.647514073	0.091046159	7.111931832	1.14e-12	1.69e-10
80	H3F3B	31196.74626	0.326326616	0.046080825	7.081614039	1.42e-12	2.08e-10
81	FAF2	14287.43574	0.262722757	0.037374797	7.029409634	2.07e-12	2.97e-10
82	NIPA2	4887.914372	0.310458182	0.044250909	7.015859927	2.29e-12	3.26e-10
83	BYSL	1777.887462	0.729560808	0.104507927	6.9809136	2.93e-12	4.12e-10
84	SREBF1	3716.633212	0.557861952	0.079953676	6.977314642	3.01e-12	4.16e-10
85	ATAD5	1280.10721	-0.481965743	0.069376566	-6.947097096	3.73e-12	5.04e-10
86	ARPC2	60913.67722	0.520561036	0.074973168	6.943297842	3.83e-12	5.12e-10
87	ADNP2	6968.978904	-0.259858333	0.037593456	-6.912328951	4.77e-12	6.23e-10
88	CMTR2	1306.862326	-0.445908886	0.065128157	-6.846637547	7.56e-12	9.74e-10
89	LRRC75A	1227.803911	-1.007259006	0.147244456	-6.840726168	7.88e-12	1.01e-09
90	ZMYND19	3157.074302	0.50998276	0.075200143	6.781672767	1.19e-11	1.47e-09
91	SREK1IP1	1125.750247	0.656949352	0.097205457	6.758358789	1.4e-11	1.7e-09
92	CENPM	592.9779953	-0.715965024	0.106020348	-6.753090657	1.45e-11	1.75e-09
93	IRS4	8781.342873	-0.317075494	0.046980748	-6.749051602	1.49e-11	1.79e-09
94	PTPN2	10692.4103	0.348034046	0.05163218	6.740642166	1.58e-11	1.88e-09
95	IRS2	261.0342773	1.449839374	0.218229642	6.643640892	3.06e-11	3.47e-09
96	NPTX2	10504.57792	1.566507312	0.236030174	6.636894282	3.2e-11	3.61e-09
97	IAPP	1861.678021	1.522398023	0.231027832	6.589673681	4.41e-11	4.85e-09
98	ZNF236	7311.973555	-0.340944538	0.051744386	-6.58901505	4.43e-11	4.85e-09
99	SGK1	29814.26264	-0.398510719	0.060549214	-6.58160021	4.65e-11	5.07e-09
100	TAF4	2778.896766	-0.274539914	0.041764709	-6.573490395	4.91e-11	5.32e-09
101	TSC22D3	13568.9729	-0.512779753	0.078514589	-6.531012354	6.53e-11	7e-09
102	SHC3	1673.302718	2.08920825	0.319901229	6.530791579	6.54e-11	7e-09
103	TENT5D	2008.441279	0.765829932	0.117448157	6.520578534	7e-11	7.41e-09
104	KLHL25	11717.91107	1.048948318	0.161079391	6.511995789	7.42e-11	7.78e-09
105	PSMA2	15272.70552	0.413479517	0.063519258	6.509514246	7.54e-11	7.88e-09
106	NPM1	41513.87086	0.23961626	0.036874465	6.498162396	8.13e-11	8.41e-09
107	DUSP6	7720.392626	1.366046054	0.210414799	6.49215767	8.46e-11	8.72e-09
108	EME1	4427.075372	1.562587244	0.241344281	6.474515309	9.51e-11	9.69e-09
109	PLEKHF2	1726.069759	-0.6224657	0.096182001	-6.47174829	9.69e-11	9.84e-09
110	GGA1	19683.9619	0.276052667	0.043135883	6.399606211	1.56e-10	1.51e-08
111	PRELID1	8030.652013	0.274082555	0.043307859	6.328702437	2.47e-10	2.33e-08
112	NOP2	6560.994996	0.452122981	0.071698172	6.305920613	2.86e-10	2.67e-08
113	ZBTB2	2415.412977	0.32247968	0.051450482	6.267767875	3.66e-10	3.33e-08
114	DCTN5	7081.662943	0.23488627	0.037648834	6.23887238	4.41e-10	3.95e-08
115	USP4	21190.70929	-0.224594951	0.036022454	-6.234859874	4.52e-10	4.04e-08
116	UBTD1	4791.52849	0.734439342	0.117962455	6.226043209	4.78e-10	4.25e-08
117	CCT8	14794.87914	0.442367962	0.071275864	6.206420187	5.42e-10	4.77e-08
118	SETD6	1368.314996	0.421426457	0.068028498	6.194851745	5.83e-10	5.1e-08
119	UBE2QL1	38062.03254	0.292948376	0.047560506	6.15948826	7.3e-10	6.32e-08
120	TBC1D15	5812.736182	-0.335884181	0.054616411	-6.149876456	7.75e-10	6.68e-08
121	PCSK1	33259.08647	0.693041369	0.112807114	6.143596286	8.07e-10	6.91e-08
122	RGS20	1264.678105	1.614690134	0.266109082	6.067775362	1.3e-09	1.07e-07
123	CCDC85C	8596.970817	-0.664363371	0.109720685	-6.055042146	1.4e-09	1.15e-07
124	BZW2	51618.95219	0.681062891	0.113074151	6.023152811	1.71e-09	1.38e-07
125	EMG1	271.0503068	0.504205964	0.084032124	6.000157301	1.97e-09	1.57e-07
126	H1-10	21531.41523	-0.548316959	0.09147778	-5.993990672	2.05e-09	1.63e-07
127	XBP1	12012.61383	0.484729536	0.080905887	5.991276455	2.08e-09	1.65e-07
128	SCAF8	7186.361082	0.562553742	0.094029373	5.982744765	2.19e-09	1.73e-07
129	FGF12	25124.952	0.438764197	0.073382192	5.979164483	2.24e-09	1.76e-07
130	CDK8	3298.985295	0.283774219	0.04749686	5.97458907	2.31e-09	1.8e-07
131	SRRM4	2971.405962	0.784101734	0.131429981	5.965927464	2.43e-09	1.88e-07
132	PARD6A	4554.285314	0.743254189	0.12476081	5.95743318	2.56e-09	1.98e-07
133	TWNK	850.2236661	0.777095043	0.130812667	5.940518306	2.84e-09	2.18e-07
134	TRIAP1	1357.273525	0.404231843	0.068274417	5.920692694	3.21e-09	2.41e-07
135	XPO4	2887.010186	-0.359395799	0.061096307	-5.882447159	4.04e-09	3.01e-07
136	DRG1	10569.58043	0.246739517	0.042080799	5.863470276	4.53e-09	3.35e-07
137	ATAD3A	14043.38438	0.271014508	0.046289	5.854836127	4.77e-09	3.51e-07
